Pintu Masuk,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,,,,,,,,,,,,2009,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,
Tanjung Pinang,6538,9736,10415,8915,12001,11692,9871,13319,9735,8966,9272,13045,9909,6606,9867,8428,9001,10241,7159,8025,8407,7598,7864,9382,6173,8548,7731,7942,8474,10030,8091,7093,8390,7237,8167,10078,6194,8648,8388,9026,8523,11067,8987,7858,7849,7483,9969,12188,9524,6869,9841,8734,8780,11174,7199,7805,6934,8168,7985,10772,5539,8533,9823,7352,7921,10884,6799,8341,7544,7549,8980,10328,8236,6132,9057,8227,8041,9773,7149,8589,7327,6716,7818,10607,5774,8023,8053,7477,7772,7735,6521,7941,7095,6233,7589,10966,5971,8407,8656,8042,8162,7930,6932,6166,8474,6800,6854,10855,10814,6249,7849,9193,7277,8702,9793,11616,10811,10619,10538,14421,8753,10704,13261,10449,11268,12815,10661,12310,12530,10759,11073,16020,9268,13141,15813,15841,14816,18935,11951,15621,12768,12406,12378,16426,14021,4849,2623,106,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,4,1,660,1141,2758,1965,2801,3716,3912,3117,5475,4973,2663,4043,5324,3391,6086,4010,4222,4827,5065,5912,7022,2803,5921,4868,2614,3904,6135,3573,5948,4898,4632,4388,5788,5583,4095,5218,4995,6071,6603,4620,4909,4971,5285,4880,6076
Tanjung Balai Karimun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,9100,9446,8180,8543,9413,9237,6126,7119,7707,8605,10520,7193,9903,8933,9284,8680,9325,9907,5587,8355,8090,8628,10512,9455,8123,10107,8545,9399,10521,7994,7200,8402,7659,8989,11105,7599,10330,9854,7591,8604,11074,5694,8690,7996,7795,8969,10693,8329,8388,8945,7621,8731,10074,6343,7545,7777,8164,7938,10927,6636,8866,8747,8343,9468,7797,7339,7511,6876,7674,7515,9894,6735,8985,7820,8201,8466,5201,7599,6674,7668,6724,6254,8780,8175,6022,7526,7902,6627,6433,6136,6620,7093,6368,6969,9900,5689,7832,8337,7328,5295,7885,6397,6913,7292,5981,6749,9020,8572,11411,10859,10039,6235,10118,8425,10273,8245,8451,9209,10916,10828,7444,3552,6,0,0,0,0,5,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,2519,4122,3139,4188,4085,3588,6684,5814,4795,4835,5801,3590,4734,4391,4173,4345,4298,4683,6634,4050,7747,5039,6899,5292,6436,5476,6555,6814,6770,6911,7649,8038,7099,5773,6137,9131,9531,7927,8272,8364,8541,7938,10212
Tanjung Benoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8143,5799,2489,3126,3153,497,164,1988,187,2815,2847,790,4626,8616,4254,634,2231,4088,29,1315,15,2030,46,3178,3862,1190,7862,53,37,33,13,1679,28,2001,5021,7677,3214,5710,1071,106,2,35,0,0,0,56,51,23,8,0,0,0,0,0,0,0,0,0,0,0,3,17,3,20,58,80,62,32,46,92,373,914,1876,6505,3738,1229,21,71,81,78,53,2596,5632,801,853,879,5423,324,109,106,95,3100,2061,5019,186,53,976,2219,6154,3906,158,124,39,27,667,7,6857,6844
Tanjung Mas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790,5166,1397,2587,1378,964,1059,1163,3941,1791,4376,1461,2020,3191,6988,437,137,0,0,0,0,133,4686,2315,1646,2328,4999,1015,0,73,97,0,266,0,2202,5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,1302,640,0,1129,535,0,619,0,0,0,0,1722,0
Pintu Laut Lainnya,5102,5820,5626,5648,5962,5610,5570,5781,5656,5682,6098,5331,5911,5111,4957,5212,5567,5444,4791,4583,4959,4746,3011,4920,5535,5260,5271,4945,4720,5035,5088,5943,4776,5690,6044,5552,5903,5089,5593,5278,5452,5270,5273,4864,4972,5180,6980,5317,5449,4409,5763,5760,4995,5351,5819,4857,5876,5507,5972,6410,5880,6619,4992,5758,5256,5331,5705,4733,5364,5407,5069,5113,5496,4867,8767,5182,5594,4892,4458,4902,4248,5287,5915,5333,8340,6982,4456,5527,5342,4877,3951,5174,4515,4854,5763,4830,5066,6824,5393,4897,5205,5061,4253,4862,4102,4356,5584,4719,39428,41216,43069,42959,47890,51902,54724,52681,53446,50700,49685,55922,56373,43272,59461,41644,35197,56830,38908,43469,37527,35919,34162,45685,106115,104039,105548,98566,109903,120142,94006,101796,96772,103172,109792,98769,89762,61687,55177,44547,46280,46931,46888,49421,44763,40887,40363,43902,37399,29128,34893,30717,39455,29659,35358,33348,33268,38087,32456,38686,58111,51158,58991,57271,81839,77149,104446,85919,92519,101617,90127,111006,103450,92745,107507,115983,115746,105187,104632,97888,81533,77718,53990,101883,101088,94981,111751,109003,89035,94945,86784,92950,87235,76419,85004,69742,78016,76731,71092,70466,69034,92642,86587,80204,89644,86223,86399,101794
C. Pintu Darat,1043,1613,1610,1234,1606,1553,1363,2331,1790,1430,1672,2744,1581,1175,1859,1497,1814,1820,1451,1578,2192,1314,1855,3054,1262,2432,1873,1538,2073,2099,2134,1874,1816,1139,1915,3281,1647,2297,2044,1831,2201,2118,1559,2643,1759,1506,2269,3380,2324,1787,2121,1503,1973,2514,1741,3036,1371,1665,2761,3101,1368,2291,2291,1408,2009,2581,1559,3038,1474,1559,2330,2948,1535,1609,1699,1430,1785,1703,2488,1568,1445,1731,1936,3535,1265,1873,2440,1491,2424,1662,2573,1710,1693,1455,2513,3753,36791,38740,30704,23577,21022,22609,28095,26406,23900,35085,49268,60278,131128,116291,90301,124921,129454,146766,141001,143457,136654,136815,130653,159048,234618,196019,212932,216754,207135,215957,221388,224099,195095,192464,181353,209290,190552,171728,174392,173309,203196,218884,180874,184827,160668,158319,145273,149594,155019,118011,119765,112225,114721,108038,104731,106279,93884,98643,87421,96013,87117,69378,71810,63512,85673,80681,84563,83427,81955,92170,97927,106603,63301,48136,59210,63590,65371,68737,73744,83091,79740,79764,80910,100575,89121,70924,78398,69717,80323,79276,76587,85993,79938,84774,84260,121486,97713,87359,107409,105157,97059,115122,103740,103641,105607,115500,111802,131073,122131,100835,108893,109233,120739,130352,137128,134047,133699,134653,143179,163619
Jayapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12417,7176,6523,10078,10042,10488,9053,9043,9981,10359,13651,16246,12616,11696,10331,10641,7542,5864,6643,7706,11220,14147,2467,3202,4418,3889,3871,4702,4743,4326,5557,5694,4052,3874,5006,6155,5671,0,0,0,0,0,0,2,0,0,2,1,2,2,0,3,0,0,0,0,3,0,0,3,0,0,0,20,0,0,0,0,0,78,166,184,132,86,106,91,8251,9933,7723,8335,8408,9174,3729,11445,8254,6903,6515,7129,7305,8577,8544,9481,11649,10715,11188,14613,12617,11015,5943,9296,9107,10569,11553,10344,12494,11274,11230,17405
Atambua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4740,4017,3768,5843,2096,6238,5476,6120,6455,6167,5976,7081,4601,3799,5250,5571,6283,7047,6508,7912,8575,8246,8207,13915,7835,5973,6741,9618,7457,8718,8961,9492,7731,8994,9824,12561,12640,7124,3955,2,2,0,36,33,0,28,26,13,4,26,0,3,13,152,12,12,73,64,142,184,234,226,317,737,1203,1792,1149,3120,2672,2646,2511,4300,2514,4212,7016,7322,6651,8267,8198,11895,8942,9700,8838,12678,8426,7423,8958,9209,9670,11141,11847,10029,8384,13025,16360,18751,11445,10244,13058,14292,15441,17380,21031,20318,18282,21420,20476,29738
Entikong,1043,1613,1610,1234,1606,1553,1363,2331,1790,1430,1672,2744,1581,1175,1859,1497,1814,1820,1451,1578,2192,1314,1855,3054,1262,2432,1873,1538,2073,2099,2134,1874,1816,1139,1915,3281,1647,2297,2044,1831,2201,2118,1559,2643,1759,1506,2269,3380,2324,1787,2121,1503,1973,2514,1741,3036,1371,1665,2761,3101,1368,2291,2291,1408,2009,2581,1559,3038,1474,1559,2330,2948,1535,1609,1699,1430,1785,1703,2488,1568,1445,1731,1936,3535,1265,1873,2440,1491,2424,1662,2573,1710,1693,1455,2513,3753,1050,2307,1937,1426,2046,1515,2360,2319,2148,1494,1610,3433,2091,1354,2209,1720,1935,2157,1117,1255,2042,1095,1092,2818,1534,2100,2376,1277,1827,2756,1453,1821,1608,1235,1585,3641,1563,2158,2366,1333,1290,2312,1720,2265,1704,1705,1691,3177,2177,1746,833,5,2,4,26,42,63,23,10,5,6,11,14,2,0,0,1,0,0,0,2,10,0,0,2,254,556,789,646,745,1360,1804,1771,3877,2508,2725,2905,2929,2856,2819,2639,3488,2418,2274,2364,4522,2366,4380,2540,4042,3737,2819,3204,3191,4256,3331,2797,5017,4130,3482,2923,2719,5321,4734,3534,3803,4446,3135,2880,5269
Aruk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,511,433,539,438,1460,1087,814,802,870,809,1919,377,928,766,587,1051,2200,825,1516,1143,745,1066,1125,804,1989,2171,836,939,2081,1061,2081,1066,763,1009,1708,2834,2330,937,19,23,64,4,4,2,3,10,4,3,2,13,1,1,0,1,0,0,1,3,2,0,0,0,218,622,969,1792,1149,1692,2116,1197,3020,2542,2503,2169,3592,2057,2755,1832,2653,1878,1721,1790,3605,1733,4433,2400,3521,2225,2878,2926,2819,3680,2376,2208,3787,3870,3482,3338,2583,3746,4858,2692,2973,3921,3097,2391,4038
Nanga Badau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,551,549,528,808,858,610,933,673,760,704,1199,662,694,661,661,1114,1331,849,1121,1097,1098,1034,1826,1187,1128,1185,937,1705,1495,1178,1226,981,911,954,1585,1213,989,610,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,318,425,347,291,1153,718,615,669,735,1324,1045,727,628,680,674,724,1363,687,950,965,486,833,1028,940,892,1116,742,732,1493,1143,935,974,798,1716,1259,1047,1116,991,918,816,1782
Pintu Darat Lainnya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35741,36433,28767,22151,18976,21094,25735,24087,21752,33591,47658,56845,110656,102682,76819,106213,114135,125565,123658,125292,116701,117564,108421,129785,214828,176802,193548,198017,189318,196759,205110,204023,171452,166993,166994,185581,174745,156591,158058,155883,187062,199952,162397,164069,145134,142072,126789,124408,130484,105822,113430,112199,114694,107970,104665,106198,93819,98589,87371,95990,87102,69337,71783,63503,85659,80529,84549,83415,81879,92105,97780,106404,63067,47910,58891,62361,62990,65187,70142,77759,73591,72773,74974,88041,80707,60783,65533,55048,59184,54457,55468,58994,57612,61231,66815,87873,76247,63270,86031,80770,73289,88679,76279,77229,76522,85311,78517,87412,88926,71677,82657,79545,85408,91552,97271,95493,93565,94809,105386,105387
Jumlah (A+B+C),360528,398522,422149,379748,428305,444870,471717,501226,410782,436793,428503,504795,393796,352558,428434,409066,442521,466913,510482,482763,412847,462453,438069,513105,461095,489042,557096,524182,566034,583334,625049,555662,521049,556005,532283,591194,516418,533145,561435,575019,563586,640584,708973,585547,609934,618356,612885,675314,619959,544832,613734,588737,612781,655317,664491,597776,642483,649422,651429,719648,581854,642090,684779,605176,659893,751308,680883,734272,733180,681312,765740,803062,716419,662105,724280,688759,713324,814281,742607,792813,755018,768261,723325,860570,671939,743476,739571,708783,751725,777966,775694,813127,822710,790411,722717,862408,733798,803917,834650,833402,860427,804988,956190,966910,944838,947174,903328,1015032,1107968,1023388,1059777,1171386,1148588,1144001,1370591,1393243,1250231,1161565,1062030,1147031,1097839,1197503,1363426,1302321,1242705,1322674,1547231,1511021,1370943,1291605,1157483,1405554,1201735,1243996,1311911,1274231,1249536,1434103,1468173,1530268,1388719,1346434,1280781,1377067,1290411,872765,486155,158066,161842,156561,155742,161549,148984,152293,144476,164079,126515,105788,119979,112756,139433,126844,127249,118533,120100,146137,150577,163619,136298,117509,158629,230076,354920,483883,645121,670509,700606,734228,704783,952469,798469,749436,869244,865811,953714,1062791,1121189,1132638,1070245,978519,931227,1144542,927746,1062149,1041861,1066958,1145499,1197941,1310756,1339946,1279258,1193867,1092067,1228630,1156012,1022894,984769,1164539,1306000,1417096,1481346,1505220,1394910,1348993,1199007,1405860
Lainnya,77438,66927,79892,79381,80650,84194,95647,98280,90236,92598,95659,105657,79369,68997,82880,78055,79214,83669,82933,84034,80952,84706,93600,112314,32704,33884,35423,30692,32497,28662,31895,29608,37716,36809,45532,52099,32403,34663,35117,32527,35634,33457,36081,35205,39526,37300,41391,48542,32733,46851,43544,36480,36144,39149,35871,35229,41204,39014,42896,47966,32474,36320,40433,40732,39971,37968,36692,35966,36823,37897,41565,58069,36660,40406,40706,37175,38010,36464,34367,33081,35632,39980,41005,54940,52759,50804,52983,42181,42667,37251,39799,40059,47429,36034,54907,51272,80505,83758,80134,67711,54507,52402,75312,63444,62293,93471,99130,98655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,437966,465449,502041,459129,508955,529064,567364,599506,501018,529391,524162,610452,473165,421555,511314,487121,521735,550582,593415,566797,493799,547159,531669,625419,493799,522926,592519,554874,598531,611996,656944,585270,558765,592814,577815,643293,548821,567808,596552,607546,599220,674041,745054,620752,649460,655656,654276,723856,652692,591683,657278,625217,648925,694466,700362,633005,683687,688436,694325,767614,614328,678410,725212,645908,699864,789276,717575,770238,770003,719209,807305,861131,753079,702511,764986,725934,751334,850745,776974,825894,790650,808241,764330,915510,724698,794280,792554,750964,794392,815217,815493,853186,870139,826445,777624,913680,814303,887675,914784,901113,914934,857390,1031502,1030354,1007131,1040645,1002458,1113687,1107968,1023388,1059777,1171386,1148588,1144001,1370591,1393243,1250231,1161565,1062030,1147031,1097839,1197503,1363426,1302321,1242705,1322674,1547231,1511021,1370943,1291605,1157483,1405554,1201735,1243996,1311911,1274231,1249536,1434103,1468173,1530268,1388719,1346434,1280781,1377067,1290411,872765,486155,158066,161842,156561,155742,161549,148984,152293,144476,164079,126515,105788,119979,112756,139433,126844,127249,118533,120100,146137,150577,163619,136298,117509,158629,230076,354920,483883,645121,670509,700606,734228,704783,952469,798469,749436,869244,865811,953714,1062791,1121189,1132638,1070245,978519,931227,1144542,927746,1062149,1041861,1066958,1145499,1197941,1310756,1339946,1279258,1193867,1092067,1228630,1156012,1022894,984769,1164539,1306000,1417096,1481346,1505220,1394910,1348993,1199007,1405860
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catatan,<br />Mulai tahun 2020 data pintu masuk Tanjung Mas digabung dengan Pintu masuk laut lainnya.,Pintu Adi Sucipto termasuk Yogyakarta International Airport/YIA.,Revisi angka pada bulan Desember 2024 dan Januari-Maret 2025 karena data MPD baru tersedia.,"Sumber: Kementerian Imigrasi dan Pemasyarakatan; dan MPD, diolah.",<br /><br />,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
